DairyProduct_PackagingType,Quantity_Value,DairyProduct_IsInfantNutrition,SubBrandRu,Mass_Net,DairyProduct_ManufacturerTaxIdentifier,DairyProduct_IsUnderVeterinaryControl,DairyProduct_IsShelfLifeUpTo40Days,EnergyValueKJ,Manufacturer_Name,Provider_Name,Mass_Gross,GpcClass1,TnvedCode,Provider_GLN,GpcClass2,StorageConditions_ShelfLifeUnit,GpcClass3,DairyProduct_LabelName,EnergyValueKcal,AdditionalInfoRu,DairyProduct_ProteinContent,DairyProduct_FatContent,DairyProduct_PackagingMaterial,DairyProduct_ManufacturerCountry,Carbohydrates,DairyProduct_RawMaterialOrigin,StorageConditions_MaxRelativeHumidity,DairyProduct_IsMedicalOrSpecialDiet,StorageConditions_ShelfLife,DairyProduct_Type,StorageConditions_MaxStorageTemperature,BrandRu,FunctionNameRu,Protein,StorageConditions_MinStorageTemperature,GTIN,GpcClass4,StorageConditions_MinRelativeHumidity,Grease,Manufacturer_GLN,Quantity_Unit,ProductType
ПАКЕТ,1952,False,Детское,1933,123456789,False,True,163.3,Молочные горки,Молочные горки,1952,50000000,0401 20 110 9,4810000000017,50130000,D,50131700,"Верхнедвинский Детское Сыр пастеризованное, массовая доля жира 2.85 %, полиэтиленовая пленка",96.18,Итерация популярных рынков,3.82,2.85,LLDPE,112,1.86,КОРОВА,83,False,15,Сыр,11,Верхнедвинский,Сыр,1.4,3,481291141872136,10000025,9,3.63,4810000000017,GR,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1561,False,Ягодное,1525,123456789,True,False,287.83,Калинковичский МК,Калинковичский МК,1561,50000000,0401 20 110 9,4810000000013,50130000,D,50131700,"Кобринский Ягодное Творог пастеризованное, массовая доля жира 4.34 %, полиэтиленовая пленка",81.46,Переопределение революционных интернет-услуг,1.55,4.34,LLDPE,112,4.88,КОРОВА,74,False,8,Творог,20,Кобринский,Творог,1.91,2,481613805072946,10000025,18,4.95,4810000000013,GR,Consumer unit [CU]
ПАКЕТ,1985,False,Натуральное,1965,123456789,False,False,150.9,Бабушкина крынка,Бабушкина крынка,1985,50000000,0401 20 110 9,4810000000003,50130000,D,50131700,"Лидский Натуральное Масло пастеризованное, массовая доля жира 3.43 %, полиэтиленовая пленка",50.15,Перепрофилирование надежных архитектур,3.77,3.43,LLDPE,112,2.02,КОРОВА,80,False,4,Масло,17,Лидский,Масло,4.4,6,481289108417644,10000025,49,1.26,4810000000003,GR,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1315,False,Фитнес,1291,123456789,True,False,344.94,Молочный Мир,Молочный Мир,1315,50000000,0401 20 110 9,4810000000004,50130000,D,50131700,"Пружанский Фитнес Сыр пастеризованное, массовая доля жира 2.55 %, полиэтиленовая пленка",64.4,Освоение интегрированных метрик,4.64,2.55,LLDPE,112,5.78,КОРОВА,50,False,10,Сыр,13,Пружанский,Сыр,3.6,9,481405364645368,10000025,27,3.04,4810000000004,GR,Consumer unit [CU]
БАНКА НЕМЕТАЛЛИЧЕСКАЯ,1491,False,Классическое,1460,123456789,True,False,374.8,Молочный Мир,Молочный Мир,1491,50000000,0401 20 110 9,4810000000004,50130000,D,50131700,"Здравушка-милк Классическое Йогурт пастеризованное, массовая доля жира 2.12 %, полиэтиленовая пленка",53.48,Реализация круглогодичных моделей,4.88,2.12,LLDPE,112,7.03,КОРОВА,69,False,2,Йогурт,12,Здравушка-милк,Йогурт,4.82,3,481390231144508,10000025,14,2.8,4810000000004,GR,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1589,False,Натуральное,1570,123456789,False,False,234.08,Лидский МКК,Лидский МКК,1589,50000000,0401 20 110 9,4810000000005,50130000,D,50131700,"Молочные горки Натуральное Сыр пастеризованное, массовая доля жира 4.23 %, полиэтиленовая пленка",40.11,Ускорение безотказных взаимодействий,3.6,4.23,LLDPE,112,5.23,КОРОВА,61,False,1,Сыр,20,Молочные горки,Сыр,4.09,7,481467720512129,10000025,19,3.3,4810000000005,GR,Consumer unit [CU]
ПАКЕТ,1011,False,Свежее,995,123456789,True,False,204.47,Бабушкина крынка,Бабушкина крынка,1011,50000000,0401 20 110 9,4810000000003,50130000,D,50131700,"Молочный Мир Свежее Простокваша пастеризованное, массовая доля жира 4.3 %, полиэтиленовая пленка",90.87,Включение интегрированных областей интереса,2.29,4.3,LLDPE,112,3.19,КОРОВА,50,False,28,Простокваша,10,Молочный Мир,Простокваша,4.2,3,481391516756522,10000025,39,4.09,4810000000003,ML,Consumer unit [CU]
ПАКЕТ,1082,False,Пробиотик,1054,123456789,False,False,325.91,Калинковичский МК,Калинковичский МК,1082,50000000,0401 20 110 9,4810000000013,50130000,D,50131700,"Глубокский Пробиотик Молоко пастеризованное, массовая доля жира 3.13 %, полиэтиленовая пленка",49.02,Трансформация революционных сетей,3.2,3.13,LLDPE,112,6.6,КОРОВА,81,False,20,Молоко,17,Глубокский,Молоко,3.25,0,481210162859988,10000025,12,4.23,4810000000013,ML,Consumer unit [CU]
БУТЫЛКА,1599,False,Фруктовое,1570,123456789,False,False,384.52,ММЗ №1,ММЗ №1,1599,50000000,0401 20 110 9,4810000000006,50130000,D,50131700,"Глубокский Фруктовое Кефир пастеризованное, массовая доля жира 3.74 %, полиэтиленовая пленка",55.36,Визуализация эффективных моделей,1.12,3.74,LLDPE,112,4.55,КОРОВА,97,False,11,Кефир,16,Глубокский,Кефир,3.96,4,481112183421049,10000025,14,3.16,4810000000006,ML,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1993,True,Пробиотик,1962,123456789,False,False,254.99,Молочные горки,Молочные горки,1993,50000000,0401 20 110 9,4810000000017,50130000,D,50131700,"Верхнедвинский Пробиотик Глазированные сырки пастеризованное, массовая доля жира 3.84 %, полиэтиленовая пленка",85.17,Максимизация ориентированных на пользователя порталов,3.54,3.84,LLDPE,112,2.19,КОРОВА,62,False,22,Глазированные сырки,12,Верхнедвинский,Глазированные сырки,4.78,9,481481648708510,10000025,6,1.42,4810000000017,GR,Consumer unit [CU]
